,PROLIFIC_PID,ExplanationPair,Need_for_Cognition,Need_for_closure,Susceptibility_to_persuasion,Skepticism,AI_Expertise,Domain,flipped_dim,MetricType,Evaluation
35009,613637a4f7a0e5359082010b,001000v001010,0.95,0.4375,0.6875,0.875,0.8125,low,Detail,Trustworthiness,1
35206,613637a4f7a0e5359082010b,001000v001010,0.95,0.4375,0.6875,0.875,0.8125,low,Detail,Transparency,0
35403,613637a4f7a0e5359082010b,001000v001010,0.95,0.4375,0.6875,0.875,0.8125,low,Detail,Usefulness,1
31069,613637a4f7a0e5359082010b,001000v001100,0.95,0.4375,0.6875,0.875,0.8125,low,Formality,Trustworthiness,1
31266,613637a4f7a0e5359082010b,001000v001100,0.95,0.4375,0.6875,0.875,0.8125,low,Formality,Transparency,1
31463,613637a4f7a0e5359082010b,001000v001100,0.95,0.4375,0.6875,0.875,0.8125,low,Formality,Usefulness,1
39737,613637a4f7a0e5359082010b,010101v010111,0.95,0.4375,0.6875,0.875,0.8125,low,Detail,Trustworthiness,1
39934,613637a4f7a0e5359082010b,010101v010111,0.95,0.4375,0.6875,0.875,0.8125,low,Detail,Transparency,1
40131,613637a4f7a0e5359082010b,010101v010111,0.95,0.4375,0.6875,0.875,0.8125,low,Detail,Usefulness,1
78349,613637a4f7a0e5359082010b,100011v101011,0.95,0.4375,0.6875,0.875,0.8125,high,Structure,Trustworthiness,1
78546,613637a4f7a0e5359082010b,100011v101011,0.95,0.4375,0.6875,0.875,0.8125,high,Structure,Transparency,1
78743,613637a4f7a0e5359082010b,100011v101011,0.95,0.4375,0.6875,0.875,0.8125,high,Structure,Usefulness,1
75985,613637a4f7a0e5359082010b,100100v110100,0.95,0.4375,0.6875,0.875,0.8125,high,Length,Trustworthiness,1
76182,613637a4f7a0e5359082010b,100100v110100,0.95,0.4375,0.6875,0.875,0.8125,high,Length,Transparency,1
76379,613637a4f7a0e5359082010b,100100v110100,0.95,0.4375,0.6875,0.875,0.8125,high,Length,Usefulness,1
70469,613637a4f7a0e5359082010b,100110v110110,0.95,0.4375,0.6875,0.875,0.8125,high,Length,Trustworthiness,1
70666,613637a4f7a0e5359082010b,100110v110110,0.95,0.4375,0.6875,0.875,0.8125,high,Length,Transparency,1
70863,613637a4f7a0e5359082010b,100110v110110,0.95,0.4375,0.6875,0.875,0.8125,high,Length,Usefulness,1
96473,613637a4f7a0e5359082010b,101001v101011,0.95,0.4375,0.6875,0.875,0.8125,high,Detail,Trustworthiness,1
96670,613637a4f7a0e5359082010b,101001v101011,0.95,0.4375,0.6875,0.875,0.8125,high,Detail,Transparency,1
96867,613637a4f7a0e5359082010b,101001v101011,0.95,0.4375,0.6875,0.875,0.8125,high,Detail,Usefulness,1
93321,613637a4f7a0e5359082010b,101000v101100,0.95,0.4375,0.6875,0.875,0.8125,high,Formality,Trustworthiness,1
93518,613637a4f7a0e5359082010b,101000v101100,0.95,0.4375,0.6875,0.875,0.8125,high,Formality,Transparency,1
93715,613637a4f7a0e5359082010b,101000v101100,0.95,0.4375,0.6875,0.875,0.8125,high,Formality,Usefulness,1
10514,6159ccda0f6f7807b9207e4b,000101v010101,0.9,0.4375,0.625,0.875,0.9375,low,Length,Trustworthiness,1
10711,6159ccda0f6f7807b9207e4b,000101v010101,0.9,0.4375,0.625,0.875,0.9375,low,Length,Transparency,0
10908,6159ccda0f6f7807b9207e4b,000101v010101,0.9,0.4375,0.625,0.875,0.9375,low,Length,Usefulness,0
4210,6159ccda0f6f7807b9207e4b,000111v010111,0.9,0.4375,0.625,0.875,0.9375,low,Length,Trustworthiness,1
4407,6159ccda0f6f7807b9207e4b,000111v010111,0.9,0.4375,0.625,0.875,0.9375,low,Length,Transparency,0
4604,6159ccda0f6f7807b9207e4b,000111v010111,0.9,0.4375,0.625,0.875,0.9375,low,Length,Usefulness,0
23910,6159ccda0f6f7807b9207e4b,001101v001111,0.9,0.4375,0.625,0.875,0.9375,low,Detail,Trustworthiness,0
24107,6159ccda0f6f7807b9207e4b,001101v001111,0.9,0.4375,0.625,0.875,0.9375,low,Detail,Transparency,0
24304,6159ccda0f6f7807b9207e4b,001101v001111,0.9,0.4375,0.625,0.875,0.9375,low,Detail,Usefulness,0
53066,6159ccda0f6f7807b9207e4b,010001v011001,0.9,0.4375,0.625,0.875,0.9375,low,Structure,Trustworthiness,1
53263,6159ccda0f6f7807b9207e4b,010001v011001,0.9,0.4375,0.625,0.875,0.9375,low,Structure,Transparency,1
53460,6159ccda0f6f7807b9207e4b,010001v011001,0.9,0.4375,0.625,0.875,0.9375,low,Structure,Usefulness,1
63310,6159ccda0f6f7807b9207e4b,011000v011001,0.9,0.4375,0.625,0.875,0.9375,low,Persuasiveness,Trustworthiness,0
63507,6159ccda0f6f7807b9207e4b,011000v011001,0.9,0.4375,0.625,0.875,0.9375,low,Persuasiveness,Transparency,0
63704,6159ccda0f6f7807b9207e4b,011000v011001,0.9,0.4375,0.625,0.875,0.9375,low,Persuasiveness,Usefulness,0
82222,6159ccda0f6f7807b9207e4b,100000v100001,0.9,0.4375,0.625,0.875,0.9375,high,Persuasiveness,Trustworthiness,0
82419,6159ccda0f6f7807b9207e4b,100000v100001,0.9,0.4375,0.625,0.875,0.9375,high,Persuasiveness,Transparency,1
82616,6159ccda0f6f7807b9207e4b,100000v100001,0.9,0.4375,0.625,0.875,0.9375,high,Persuasiveness,Usefulness,1
94042,6159ccda0f6f7807b9207e4b,101101v111101,0.9,0.4375,0.625,0.875,0.9375,high,Length,Trustworthiness,1
94239,6159ccda0f6f7807b9207e4b,101101v111101,0.9,0.4375,0.625,0.875,0.9375,high,Length,Transparency,1
94436,6159ccda0f6f7807b9207e4b,101101v111101,0.9,0.4375,0.625,0.875,0.9375,high,Length,Usefulness,1
90102,6159ccda0f6f7807b9207e4b,101010v101110,0.9,0.4375,0.625,0.875,0.9375,high,Formality,Trustworthiness,1
90299,6159ccda0f6f7807b9207e4b,101010v101110,0.9,0.4375,0.625,0.875,0.9375,high,Formality,Transparency,1
90496,6159ccda0f6f7807b9207e4b,101010v101110,0.9,0.4375,0.625,0.875,0.9375,high,Formality,Usefulness,1
115318,6159ccda0f6f7807b9207e4b,110000v110001,0.9,0.4375,0.625,0.875,0.9375,high,Persuasiveness,Trustworthiness,1
115515,6159ccda0f6f7807b9207e4b,110000v110001,0.9,0.4375,0.625,0.875,0.9375,high,Persuasiveness,Transparency,1
115712,6159ccda0f6f7807b9207e4b,110000v110001,0.9,0.4375,0.625,0.875,0.9375,high,Persuasiveness,Usefulness,1
117682,6159ccda0f6f7807b9207e4b,111110v111111,0.9,0.4375,0.625,0.875,0.9375,high,Persuasiveness,Trustworthiness,1
117879,6159ccda0f6f7807b9207e4b,111110v111111,0.9,0.4375,0.625,0.875,0.9375,high,Persuasiveness,Transparency,0
118076,6159ccda0f6f7807b9207e4b,111110v111111,0.9,0.4375,0.625,0.875,0.9375,high,Persuasiveness,Usefulness,0
13623,628db649ec2ce46bc626570f,000010v000011,0.45,0.5,0.6875,0.4375,0.75,low,Persuasiveness,Trustworthiness,0
13820,628db649ec2ce46bc626570f,000010v000011,0.45,0.5,0.6875,0.4375,0.75,low,Persuasiveness,Transparency,0
14017,628db649ec2ce46bc626570f,000010v000011,0.45,0.5,0.6875,0.4375,0.75,low,Persuasiveness,Usefulness,1
11259,628db649ec2ce46bc626570f,000000v000100,0.45,0.5,0.6875,0.4375,0.75,low,Formality,Trustworthiness,1
11456,628db649ec2ce46bc626570f,000000v000100,0.45,0.5,0.6875,0.4375,0.75,low,Formality,Transparency,1
11653,628db649ec2ce46bc626570f,000000v000100,0.45,0.5,0.6875,0.4375,0.75,low,Formality,Usefulness,0
32535,628db649ec2ce46bc626570f,001010v001011,0.45,0.5,0.6875,0.4375,0.75,low,Persuasiveness,Trustworthiness,1
32732,628db649ec2ce46bc626570f,001010v001011,0.45,0.5,0.6875,0.4375,0.75,low,Persuasiveness,Transparency,1
32929,628db649ec2ce46bc626570f,001010v001011,0.45,0.5,0.6875,0.4375,0.75,low,Persuasiveness,Usefulness,0
40415,628db649ec2ce46bc626570f,010011v010111,0.45,0.5,0.6875,0.4375,0.75,low,Formality,Trustworthiness,1
40612,628db649ec2ce46bc626570f,010011v010111,0.45,0.5,0.6875,0.4375,0.75,low,Formality,Transparency,0
40809,628db649ec2ce46bc626570f,010011v010111,0.45,0.5,0.6875,0.4375,0.75,low,Formality,Usefulness,0
58539,628db649ec2ce46bc626570f,011100v011101,0.45,0.5,0.6875,0.4375,0.75,low,Persuasiveness,Trustworthiness,0
58736,628db649ec2ce46bc626570f,011100v011101,0.45,0.5,0.6875,0.4375,0.75,low,Persuasiveness,Transparency,0
58933,628db649ec2ce46bc626570f,011100v011101,0.45,0.5,0.6875,0.4375,0.75,low,Persuasiveness,Usefulness,0
80603,628db649ec2ce46bc626570f,100010v101010,0.45,0.5,0.6875,0.4375,0.75,high,Structure,Trustworthiness,1
80800,628db649ec2ce46bc626570f,100010v101010,0.45,0.5,0.6875,0.4375,0.75,high,Structure,Transparency,1
80997,628db649ec2ce46bc626570f,100010v101010,0.45,0.5,0.6875,0.4375,0.75,high,Structure,Usefulness,1
72723,628db649ec2ce46bc626570f,100101v101101,0.45,0.5,0.6875,0.4375,0.75,high,Structure,Trustworthiness,1
72920,628db649ec2ce46bc626570f,100101v101101,0.45,0.5,0.6875,0.4375,0.75,high,Structure,Transparency,0
73117,628db649ec2ce46bc626570f,100101v101101,0.45,0.5,0.6875,0.4375,0.75,high,Structure,Usefulness,1
100303,628db649ec2ce46bc626570f,101001v111001,0.45,0.5,0.6875,0.4375,0.75,high,Length,Trustworthiness,1
100500,628db649ec2ce46bc626570f,101001v111001,0.45,0.5,0.6875,0.4375,0.75,high,Length,Transparency,1
100697,628db649ec2ce46bc626570f,101001v111001,0.45,0.5,0.6875,0.4375,0.75,high,Length,Usefulness,1
97939,628db649ec2ce46bc626570f,101000v101010,0.45,0.5,0.6875,0.4375,0.75,high,Detail,Trustworthiness,1
98136,628db649ec2ce46bc626570f,101000v101010,0.45,0.5,0.6875,0.4375,0.75,high,Detail,Transparency,1
98333,628db649ec2ce46bc626570f,101000v101010,0.45,0.5,0.6875,0.4375,0.75,high,Detail,Usefulness,1
124731,628db649ec2ce46bc626570f,111001v111011,0.45,0.5,0.6875,0.4375,0.75,high,Detail,Trustworthiness,0
124928,628db649ec2ce46bc626570f,111001v111011,0.45,0.5,0.6875,0.4375,0.75,high,Detail,Transparency,0
125125,628db649ec2ce46bc626570f,111001v111011,0.45,0.5,0.6875,0.4375,0.75,high,Detail,Usefulness,0
13635,62903d86dad1252ede51100f,000010v000011,0.65,0.4375,0.5625,0.75,0.75,low,Persuasiveness,Trustworthiness,0
13832,62903d86dad1252ede51100f,000010v000011,0.65,0.4375,0.5625,0.75,0.75,low,Persuasiveness,Transparency,1
14029,62903d86dad1252ede51100f,000010v000011,0.65,0.4375,0.5625,0.75,0.75,low,Persuasiveness,Usefulness,0
9695,62903d86dad1252ede51100f,000101v001101,0.65,0.4375,0.5625,0.75,0.75,low,Structure,Trustworthiness,1
9892,62903d86dad1252ede51100f,000101v001101,0.65,0.4375,0.5625,0.75,0.75,low,Structure,Transparency,1
10089,62903d86dad1252ede51100f,000101v001101,0.65,0.4375,0.5625,0.75,0.75,low,Structure,Usefulness,0
30971,62903d86dad1252ede51100f,001000v001100,0.65,0.4375,0.5625,0.75,0.75,low,Formality,Trustworthiness,0
31168,62903d86dad1252ede51100f,001000v001100,0.65,0.4375,0.5625,0.75,0.75,low,Formality,Transparency,1
31365,62903d86dad1252ede51100f,001000v001100,0.65,0.4375,0.5625,0.75,0.75,low,Formality,Usefulness,0
49883,62903d86dad1252ede51100f,010011v011011,0.65,0.4375,0.5625,0.75,0.75,low,Structure,Trustworthiness,0
50080,62903d86dad1252ede51100f,010011v011011,0.65,0.4375,0.5625,0.75,0.75,low,Structure,Transparency,1
50277,62903d86dad1252ede51100f,010011v011011,0.65,0.4375,0.5625,0.75,0.75,low,Structure,Usefulness,1
54611,62903d86dad1252ede51100f,011110v011111,0.65,0.4375,0.5625,0.75,0.75,low,Persuasiveness,Trustworthiness,0
54808,62903d86dad1252ede51100f,011110v011111,0.65,0.4375,0.5625,0.75,0.75,low,Persuasiveness,Transparency,1
55005,62903d86dad1252ede51100f,011110v011111,0.65,0.4375,0.5625,0.75,0.75,low,Persuasiveness,Usefulness,0
70371,62903d86dad1252ede51100f,100110v110110,0.65,0.4375,0.5625,0.75,0.75,high,Length,Trustworthiness,0
70568,62903d86dad1252ede51100f,100110v110110,0.65,0.4375,0.5625,0.75,0.75,high,Length,Transparency,1
70765,62903d86dad1252ede51100f,100110v110110,0.65,0.4375,0.5625,0.75,0.75,high,Length,Usefulness,1
67219,62903d86dad1252ede51100f,100111v110111,0.65,0.4375,0.5625,0.75,0.75,high,Length,Trustworthiness,0
67416,62903d86dad1252ede51100f,100111v110111,0.65,0.4375,0.5625,0.75,0.75,high,Length,Transparency,1
67613,62903d86dad1252ede51100f,100111v110111,0.65,0.4375,0.5625,0.75,0.75,high,Length,Usefulness,1
115287,62903d86dad1252ede51100f,110000v110001,0.65,0.4375,0.5625,0.75,0.75,high,Persuasiveness,Trustworthiness,0
115484,62903d86dad1252ede51100f,110000v110001,0.65,0.4375,0.5625,0.75,0.75,high,Persuasiveness,Transparency,0
115681,62903d86dad1252ede51100f,110000v110001,0.65,0.4375,0.5625,0.75,0.75,high,Persuasiveness,Usefulness,0
113711,62903d86dad1252ede51100f,110000v110010,0.65,0.4375,0.5625,0.75,0.75,high,Detail,Trustworthiness,1
113908,62903d86dad1252ede51100f,110000v110010,0.65,0.4375,0.5625,0.75,0.75,high,Detail,Transparency,1
114105,62903d86dad1252ede51100f,110000v110010,0.65,0.4375,0.5625,0.75,0.75,high,Detail,Usefulness,1
123167,62903d86dad1252ede51100f,111000v111100,0.65,0.4375,0.5625,0.75,0.75,high,Formality,Trustworthiness,1
123364,62903d86dad1252ede51100f,111000v111100,0.65,0.4375,0.5625,0.75,0.75,high,Formality,Transparency,0
123561,62903d86dad1252ede51100f,111000v111100,0.65,0.4375,0.5625,0.75,0.75,high,Formality,Usefulness,1
18346,62b628e4351d179f1ff6cc59,000010v010010,0.8,0.6875,0.6875,0.9375,0.875,low,Length,Trustworthiness,1
18543,62b628e4351d179f1ff6cc59,000010v010010,0.8,0.6875,0.6875,0.9375,0.875,low,Length,Transparency,1
18740,62b628e4351d179f1ff6cc59,000010v010010,0.8,0.6875,0.6875,0.9375,0.875,low,Length,Usefulness,1
4950,62b628e4351d179f1ff6cc59,000100v000110,0.8,0.6875,0.6875,0.9375,0.875,low,Detail,Trustworthiness,0
5147,62b628e4351d179f1ff6cc59,000100v000110,0.8,0.6875,0.6875,0.9375,0.875,low,Detail,Transparency,0
5344,62b628e4351d179f1ff6cc59,000100v000110,0.8,0.6875,0.6875,0.9375,0.875,low,Detail,Usefulness,0
36470,62b628e4351d179f1ff6cc59,001000v001001,0.8,0.6875,0.6875,0.9375,0.875,low,Persuasiveness,Trustworthiness,1
36667,62b628e4351d179f1ff6cc59,001000v001001,0.8,0.6875,0.6875,0.9375,0.875,low,Persuasiveness,Transparency,1
36864,62b628e4351d179f1ff6cc59,001000v001001,0.8,0.6875,0.6875,0.9375,0.875,low,Persuasiveness,Usefulness,1
23862,62b628e4351d179f1ff6cc59,001101v001111,0.8,0.6875,0.6875,0.9375,0.875,low,Detail,Trustworthiness,0
24059,62b628e4351d179f1ff6cc59,001101v001111,0.8,0.6875,0.6875,0.9375,0.875,low,Detail,Transparency,0
24256,62b628e4351d179f1ff6cc59,001101v001111,0.8,0.6875,0.6875,0.9375,0.875,low,Detail,Usefulness,0
46714,62b628e4351d179f1ff6cc59,010000v010100,0.8,0.6875,0.6875,0.9375,0.875,low,Formality,Trustworthiness,1
46911,62b628e4351d179f1ff6cc59,010000v010100,0.8,0.6875,0.6875,0.9375,0.875,low,Formality,Transparency,1
47108,62b628e4351d179f1ff6cc59,010000v010100,0.8,0.6875,0.6875,0.9375,0.875,low,Formality,Usefulness,1
18408,62e154b0682e270b4acdf5ee,000010v010010,0.85,0.5,0.4375,0.5625,0.8125,low,Length,Trustworthiness,1
18605,62e154b0682e270b4acdf5ee,000010v010010,0.85,0.5,0.4375,0.5625,0.8125,low,Length,Transparency,1
18802,62e154b0682e270b4acdf5ee,000010v010010,0.85,0.5,0.4375,0.5625,0.8125,low,Length,Usefulness,1
13680,62e154b0682e270b4acdf5ee,000010v000011,0.85,0.5,0.4375,0.5625,0.8125,low,Persuasiveness,Trustworthiness,1
13877,62e154b0682e270b4acdf5ee,000010v000011,0.85,0.5,0.4375,0.5625,0.8125,low,Persuasiveness,Transparency,1
14074,62e154b0682e270b4acdf5ee,000010v000011,0.85,0.5,0.4375,0.5625,0.8125,low,Persuasiveness,Usefulness,1
8952,62e154b0682e270b4acdf5ee,000001v000101,0.85,0.5,0.4375,0.5625,0.8125,low,Formality,Trustworthiness,1
9149,62e154b0682e270b4acdf5ee,000001v000101,0.85,0.5,0.4375,0.5625,0.8125,low,Formality,Transparency,0
9346,62e154b0682e270b4acdf5ee,000001v000101,0.85,0.5,0.4375,0.5625,0.8125,low,Formality,Usefulness,1
27076,62e154b0682e270b4acdf5ee,001010v001110,0.85,0.5,0.4375,0.5625,0.8125,low,Formality,Trustworthiness,1
27273,62e154b0682e270b4acdf5ee,001010v001110,0.85,0.5,0.4375,0.5625,0.8125,low,Formality,Transparency,1
27470,62e154b0682e270b4acdf5ee,001010v001110,0.85,0.5,0.4375,0.5625,0.8125,low,Formality,Usefulness,1
58596,62e154b0682e270b4acdf5ee,011100v011101,0.85,0.5,0.4375,0.5625,0.8125,low,Persuasiveness,Trustworthiness,1
58793,62e154b0682e270b4acdf5ee,011100v011101,0.85,0.5,0.4375,0.5625,0.8125,low,Persuasiveness,Transparency,1
58990,62e154b0682e270b4acdf5ee,011100v011101,0.85,0.5,0.4375,0.5625,0.8125,low,Persuasiveness,Usefulness,0
78296,62e154b0682e270b4acdf5ee,100011v101011,0.85,0.5,0.4375,0.5625,0.8125,high,Structure,Trustworthiness,1
78493,62e154b0682e270b4acdf5ee,100011v101011,0.85,0.5,0.4375,0.5625,0.8125,high,Structure,Transparency,1
78690,62e154b0682e270b4acdf5ee,100011v101011,0.85,0.5,0.4375,0.5625,0.8125,high,Structure,Usefulness,0
72780,62e154b0682e270b4acdf5ee,100101v101101,0.85,0.5,0.4375,0.5625,0.8125,high,Structure,Trustworthiness,1
72977,62e154b0682e270b4acdf5ee,100101v101101,0.85,0.5,0.4375,0.5625,0.8125,high,Structure,Transparency,1
73174,62e154b0682e270b4acdf5ee,100101v101101,0.85,0.5,0.4375,0.5625,0.8125,high,Structure,Usefulness,1
97996,62e154b0682e270b4acdf5ee,101000v101010,0.85,0.5,0.4375,0.5625,0.8125,high,Detail,Trustworthiness,1
98193,62e154b0682e270b4acdf5ee,101000v101010,0.85,0.5,0.4375,0.5625,0.8125,high,Detail,Transparency,0
98390,62e154b0682e270b4acdf5ee,101000v101010,0.85,0.5,0.4375,0.5625,0.8125,high,Detail,Usefulness,1
86176,62e154b0682e270b4acdf5ee,101110v101111,0.85,0.5,0.4375,0.5625,0.8125,high,Persuasiveness,Trustworthiness,1
86373,62e154b0682e270b4acdf5ee,101110v101111,0.85,0.5,0.4375,0.5625,0.8125,high,Persuasiveness,Transparency,1
86570,62e154b0682e270b4acdf5ee,101110v101111,0.85,0.5,0.4375,0.5625,0.8125,high,Persuasiveness,Usefulness,0
113756,62e154b0682e270b4acdf5ee,110000v110010,0.85,0.5,0.4375,0.5625,0.8125,high,Detail,Trustworthiness,0
113953,62e154b0682e270b4acdf5ee,110000v110010,0.85,0.5,0.4375,0.5625,0.8125,high,Detail,Transparency,0
114150,62e154b0682e270b4acdf5ee,110000v110010,0.85,0.5,0.4375,0.5625,0.8125,high,Detail,Usefulness,0
23088,6334b0fc574064de4e68f578,001110v001111,0.75,0.375,0.625,0.75,0.6875,low,Persuasiveness,Trustworthiness,0
23285,6334b0fc574064de4e68f578,001110v001111,0.75,0.375,0.625,0.75,0.6875,low,Persuasiveness,Transparency,0
23482,6334b0fc574064de4e68f578,001110v001111,0.75,0.375,0.625,0.75,0.6875,low,Persuasiveness,Usefulness,0
53032,6334b0fc574064de4e68f578,010001v011001,0.75,0.375,0.625,0.75,0.6875,low,Structure,Trustworthiness,0
53229,6334b0fc574064de4e68f578,010001v011001,0.75,0.375,0.625,0.75,0.6875,low,Structure,Transparency,0
53426,6334b0fc574064de4e68f578,010001v011001,0.75,0.375,0.625,0.75,0.6875,low,Structure,Usefulness,0
61700,6334b0fc574064de4e68f578,011001v011011,0.75,0.375,0.625,0.75,0.6875,low,Detail,Trustworthiness,1
61897,6334b0fc574064de4e68f578,011001v011011,0.75,0.375,0.625,0.75,0.6875,low,Detail,Transparency,1
62094,6334b0fc574064de4e68f578,011001v011011,0.75,0.375,0.625,0.75,0.6875,low,Detail,Usefulness,1
60124,6334b0fc574064de4e68f578,011000v011100,0.75,0.375,0.625,0.75,0.6875,low,Formality,Trustworthiness,1
60321,6334b0fc574064de4e68f578,011000v011100,0.75,0.375,0.625,0.75,0.6875,low,Formality,Transparency,1
60518,6334b0fc574064de4e68f578,011000v011100,0.75,0.375,0.625,0.75,0.6875,low,Formality,Usefulness,1
56972,6334b0fc574064de4e68f578,011100v011110,0.75,0.375,0.625,0.75,0.6875,low,Detail,Trustworthiness,0
57169,6334b0fc574064de4e68f578,011100v011110,0.75,0.375,0.625,0.75,0.6875,low,Detail,Transparency,1
57366,6334b0fc574064de4e68f578,011100v011110,0.75,0.375,0.625,0.75,0.6875,low,Detail,Usefulness,0
68004,6334b0fc574064de4e68f578,100100v100110,0.75,0.375,0.625,0.75,0.6875,high,Detail,Trustworthiness,1
68201,6334b0fc574064de4e68f578,100100v100110,0.75,0.375,0.625,0.75,0.6875,high,Detail,Transparency,1
68398,6334b0fc574064de4e68f578,100100v100110,0.75,0.375,0.625,0.75,0.6875,high,Detail,Usefulness,1
93220,6334b0fc574064de4e68f578,101000v101100,0.75,0.375,0.625,0.75,0.6875,high,Formality,Trustworthiness,0
93417,6334b0fc574064de4e68f578,101000v101100,0.75,0.375,0.625,0.75,0.6875,high,Formality,Transparency,0
93614,6334b0fc574064de4e68f578,101000v101100,0.75,0.375,0.625,0.75,0.6875,high,Formality,Usefulness,0
111344,6334b0fc574064de4e68f578,110010v110011,0.75,0.375,0.625,0.75,0.6875,high,Persuasiveness,Trustworthiness,0
111541,6334b0fc574064de4e68f578,110010v110011,0.75,0.375,0.625,0.75,0.6875,high,Persuasiveness,Transparency,0
111738,6334b0fc574064de4e68f578,110010v110011,0.75,0.375,0.625,0.75,0.6875,high,Persuasiveness,Usefulness,0
104252,6334b0fc574064de4e68f578,110111v111111,0.75,0.375,0.625,0.75,0.6875,high,Structure,Trustworthiness,1
104449,6334b0fc574064de4e68f578,110111v111111,0.75,0.375,0.625,0.75,0.6875,high,Structure,Transparency,1
104646,6334b0fc574064de4e68f578,110111v111111,0.75,0.375,0.625,0.75,0.6875,high,Structure,Usefulness,1
119224,6334b0fc574064de4e68f578,111011v111111,0.75,0.375,0.625,0.75,0.6875,high,Formality,Trustworthiness,1
119421,6334b0fc574064de4e68f578,111011v111111,0.75,0.375,0.625,0.75,0.6875,high,Formality,Transparency,1
119618,6334b0fc574064de4e68f578,111011v111111,0.75,0.375,0.625,0.75,0.6875,high,Formality,Usefulness,1
19958,636598a7a571403968d03bf2,000001v001001,0.75,0.625,0.6875,0.9375,0.625,low,Structure,Trustworthiness,0
20155,636598a7a571403968d03bf2,000001v001001,0.75,0.625,0.6875,0.9375,0.625,low,Structure,Transparency,0
20352,636598a7a571403968d03bf2,000001v001001,0.75,0.625,0.6875,0.9375,0.625,low,Structure,Usefulness,0
11290,636598a7a571403968d03bf2,000000v000100,0.75,0.625,0.6875,0.9375,0.625,low,Formality,Trustworthiness,0
11487,636598a7a571403968d03bf2,000000v000100,0.75,0.625,0.6875,0.9375,0.625,low,Formality,Transparency,0
11684,636598a7a571403968d03bf2,000000v000100,0.75,0.625,0.6875,0.9375,0.625,low,Formality,Usefulness,0
52266,636598a7a571403968d03bf2,010000v010001,0.75,0.625,0.6875,0.9375,0.625,low,Persuasiveness,Trustworthiness,0
52463,636598a7a571403968d03bf2,010000v010001,0.75,0.625,0.6875,0.9375,0.625,low,Persuasiveness,Transparency,0
52660,636598a7a571403968d03bf2,010000v010001,0.75,0.625,0.6875,0.9375,0.625,low,Persuasiveness,Usefulness,0
49902,636598a7a571403968d03bf2,010011v011011,0.75,0.625,0.6875,0.9375,0.625,low,Structure,Trustworthiness,0
50099,636598a7a571403968d03bf2,010011v011011,0.75,0.625,0.6875,0.9375,0.625,low,Structure,Transparency,0
50296,636598a7a571403968d03bf2,010011v011011,0.75,0.625,0.6875,0.9375,0.625,low,Structure,Usefulness,0
62510,636598a7a571403968d03bf2,011000v011010,0.75,0.625,0.6875,0.9375,0.625,low,Detail,Trustworthiness,1
62707,636598a7a571403968d03bf2,011000v011010,0.75,0.625,0.6875,0.9375,0.625,low,Detail,Transparency,1
62904,636598a7a571403968d03bf2,011000v011010,0.75,0.625,0.6875,0.9375,0.625,low,Detail,Usefulness,1
77482,636598a7a571403968d03bf2,100001v100011,0.75,0.625,0.6875,0.9375,0.625,high,Detail,Trustworthiness,1
77679,636598a7a571403968d03bf2,100001v100011,0.75,0.625,0.6875,0.9375,0.625,high,Detail,Transparency,1
77876,636598a7a571403968d03bf2,100001v100011,0.75,0.625,0.6875,0.9375,0.625,high,Detail,Usefulness,1
86938,636598a7a571403968d03bf2,101101v101111,0.75,0.625,0.6875,0.9375,0.625,high,Detail,Trustworthiness,1
87135,636598a7a571403968d03bf2,101101v101111,0.75,0.625,0.6875,0.9375,0.625,high,Detail,Transparency,1
87332,636598a7a571403968d03bf2,101101v101111,0.75,0.625,0.6875,0.9375,0.625,high,Detail,Usefulness,1
109790,636598a7a571403968d03bf2,110000v110100,0.75,0.625,0.6875,0.9375,0.625,high,Formality,Trustworthiness,1
109987,636598a7a571403968d03bf2,110000v110100,0.75,0.625,0.6875,0.9375,0.625,high,Formality,Transparency,1
110184,636598a7a571403968d03bf2,110000v110100,0.75,0.625,0.6875,0.9375,0.625,high,Formality,Usefulness,1
108214,636598a7a571403968d03bf2,110001v110101,0.75,0.625,0.6875,0.9375,0.625,high,Formality,Trustworthiness,1
108411,636598a7a571403968d03bf2,110001v110101,0.75,0.625,0.6875,0.9375,0.625,high,Formality,Transparency,1
108608,636598a7a571403968d03bf2,110001v110101,0.75,0.625,0.6875,0.9375,0.625,high,Formality,Usefulness,1
123974,636598a7a571403968d03bf2,111010v111011,0.75,0.625,0.6875,0.9375,0.625,high,Persuasiveness,Trustworthiness,0
124171,636598a7a571403968d03bf2,111010v111011,0.75,0.625,0.6875,0.9375,0.625,high,Persuasiveness,Transparency,0
124368,636598a7a571403968d03bf2,111010v111011,0.75,0.625,0.6875,0.9375,0.625,high,Persuasiveness,Usefulness,0
22290,63cefafe1587b9e35702bc9e,000000v010000,0.75,0.5625,0.5625,0.6875,0.875,low,Length,Trustworthiness,1
22487,63cefafe1587b9e35702bc9e,000000v010000,0.75,0.5625,0.5625,0.6875,0.875,low,Length,Transparency,1
22684,63cefafe1587b9e35702bc9e,000000v010000,0.75,0.5625,0.5625,0.6875,0.875,low,Length,Usefulness,1
9682,63cefafe1587b9e35702bc9e,000101v001101,0.75,0.5625,0.5625,0.6875,0.875,low,Structure,Trustworthiness,1
9879,63cefafe1587b9e35702bc9e,000101v001101,0.75,0.5625,0.5625,0.6875,0.875,low,Structure,Transparency,0
